epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,5428.56,1.01823,0.76972,1.18926,0.77758,0.7571,0.83081,0.53774,1.2206,0.89962,1.37864,9.55951e-05,9.55951e-05,9.55951e-05
83,5498.81,1.02068,0.81311,1.20149,0.80583,0.75478,0.838,0.53217,1.22363,0.89938,1.37713,8.70577e-05,8.70577e-05,8.70577e-05
84,5563.84,1.00464,0.79661,1.19543,0.83997,0.70206,0.83552,0.53664,1.2036,0.88685,1.35681,7.89327e-05,7.89327e-05,7.89327e-05
85,5618.42,1.00274,0.75263,1.18374,0.84593,0.69745,0.83663,0.54036,1.19656,0.86512,1.34988,7.12282e-05,7.12282e-05,7.12282e-05
86,5706.59,0.95835,0.73586,1.16945,0.88091,0.68319,0.83649,0.53722,1.21356,0.89367,1.36292,6.39518e-05,6.39518e-05,6.39518e-05
87,5802.32,0.98291,0.75194,1.18441,0.88467,0.68402,0.83052,0.53625,1.20774,0.89449,1.36268,5.71106e-05,5.71106e-05,5.71106e-05
88,5882.06,0.98306,0.76154,1.18329,0.84411,0.70701,0.83142,0.54197,1.19784,0.87874,1.35876,5.07115e-05,5.07115e-05,5.07115e-05
89,5949.02,0.97245,0.73221,1.15837,0.85659,0.70383,0.83998,0.54042,1.201,0.88043,1.36141,4.47606e-05,4.47606e-05,4.47606e-05
90,6032.71,0.98898,0.78039,1.18575,0.85018,0.70481,0.83699,0.5395,1.20347,0.88629,1.36743,3.9264e-05,3.9264e-05,3.9264e-05
91,6129.29,0.77862,0.53472,1.01959,0.8472,0.70064,0.83708,0.53001,1.21769,0.89482,1.38343,3.4227e-05,3.4227e-05,3.4227e-05
92,6195.16,0.77908,0.52775,1.01975,0.90306,0.66242,0.83544,0.52784,1.22602,0.92824,1.39084,2.96546e-05,2.96546e-05,2.96546e-05
93,6275,0.76289,0.50597,1.01818,0.80575,0.72293,0.8327,0.52511,1.23304,0.94126,1.39409,2.55513e-05,2.55513e-05,2.55513e-05
94,6358.17,0.76056,0.49766,1.02678,0.81795,0.73567,0.83723,0.52719,1.2238,0.92253,1.3928,2.19212e-05,2.19212e-05,2.19212e-05
95,6428.35,0.75905,0.49667,1.01343,0.82686,0.73567,0.83802,0.52894,1.22192,0.91859,1.39334,1.87678e-05,1.87678e-05,1.87678e-05
96,6503.04,0.75257,0.48599,1.01325,0.83822,0.73248,0.84037,0.53099,1.21597,0.91417,1.38548,1.60943e-05,1.60943e-05,1.60943e-05
97,6559.58,0.76322,0.49524,1.01001,0.84168,0.72803,0.84207,0.53138,1.21471,0.91329,1.38576,1.39032e-05,1.39032e-05,1.39032e-05
98,6629.81,0.74045,0.47446,0.99708,0.84126,0.71975,0.84063,0.53708,1.21443,0.90374,1.38687,1.21968e-05,1.21968e-05,1.21968e-05
99,6701.54,0.75869,0.48333,1.01829,0.84111,0.72491,0.84031,0.53853,1.21766,0.90161,1.39062,1.09768e-05,1.09768e-05,1.09768e-05
100,6767.42,0.75818,0.48369,1.01054,0.83739,0.73248,0.84202,0.53736,1.21472,0.89498,1.39038,1.02443e-05,1.02443e-05,1.02443e-05
